objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,hd001.jpg,,,"St Paul, Minnesota, Ron's Randolph Inn",Grant Hart,"1979-03-30, 1979-03-31",Ron's Randolph Inn - First public shows,Hüsker Dü; Ron's Randolph Inn; flyers,"St. Paul, Minnesota",44.9272672,-93.15148316,Greg Norton,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,hd002.jpg,,,"Minneapolis, Minnesota, Longhorn Bar",,1980-02-28,Longhorn Bar,Hüsker Dü; Longhorn Bar; flyers,"Minneapolis, Minnesota",44.9782296,-93.2705358,"Steve Hengstler collection, via Hüsker Dü by Andrew Earles",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,hd003.jpg,,,"Minneapolis, Minnesota, 7th Street Entry",,"1980-03-26, 1980-03-27",7th Street Entry - This club would become their 'home' venue for most of the band's history,Hüsker Dü; 7th Street Entry; flyers,"Minneapolis, Minnesota",44.9784644,-93.2780277,"Paul Hilcoff, thirdav.com",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,hd004.jpg,,,"Minneapolis, Minnesota, Duffy's",,1980-04-14,Duffy's,Hüsker Dü; Duffy's; flyers,"Minneapolis, Minnesota",44.9555717,-93.2368484,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,hd005.jpg,,,"Minneapolis, Minnesota, Longhorn Bar",,1980-09-25,Longhorn Bar,Hüsker Dü; Longhorn Bar; flyers,"Minneapolis, Minnesota",44.9782296,-93.2705358,https://gojohnnygojohnny.wordpress.com/,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,hd006.gif,,,"Chicago, Illinois, OZ",,"1981-03-21, 1981-03-22, 1981-03-23?",OZ - Owner Dem Hopkins remembers Hüsker Dü playing late on 3/23 after Black Flag - this was the show where Grant threw a bucket of blue paint over the stage and into / onto the crowd,Hüsker Dü; OZ; flyers,"Chicago, Illinois",41.9495732,-87.6514176,Marie Kanger-Born,,Image;StillImage,image/gif,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,hd007.jpg,,,"Minneapolis, Minnesota, Sams / 7th Street Entry",,1981-06-15,Sams / 7th Street Entry,Hüsker Dü; Sams; 7th Street Entry; flyers,"Minneapolis, Minnesota",44.9784644,-93.2780277,Minnesota Historical Society,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,hd008.jpg,,,"Vancouver, British Columbia, Smilin' Buddha Cabaret",,"1981-07-04, 1981-07-04",Smilin' Buddha Cabaret,Hüsker Dü; Smilin' Buddha Cabaret; flyers,"Vancouver, British Columbia",49.2816873,-123.1039225,gigposters.com,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,hd009.jpg,,,"Madison, Wisconsin, Merlyn's",,1982-02-22,Merlyn's,Hüsker Dü; Merlyn's; flyers,"Madison, Wisconsin",43.0746689,-89.3928585,Merlyn's Facebook Page - https://www.facebook.com/groups/75874801645/,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,hd010.jpg,,,"Denver, Colorado, Mercury Cafe",,1982-05-28,Mercury Cafe,Hüsker Dü; Mercury Cafe; flyers,"Denver, Colorado",39.7371122,-104.9818842,"Adam Luksetich and Grant Hart Archive, MoPOP Permanent Collection",,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,hd011.jpg,,,"San Diego, California, North Park Lions Club",Lee Ellingson,1982-06-17,North Park Lions Club,Hüsker Dü; North Park Lions Club; flyers,"San Diego, California",32.7490691,-117.134622,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,hd012.jpg,,,"Tulsa, Oklahoma, Crystal Pistol",,1982-08-10,Crystal Pistol,Hüsker Dü; Crystal Pistol; flyers,"Tulsa, Oklahoma",36.165997,-95.9059643,Jeff Klein (via Facebook),,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,hd013.jpg,,,"San Francisco, California, Tool & Die",,1983-01-08,Tool & Die,Hüsker Dü; Tool & Die; flyers,"San Francisco, California",37.7573699,-122.4235199,Cornell University Library Digital Collections,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,hd014.jpg,,,"Newport, Kentucky, The Jockey Club",Chris Donnelly,1983-04-14,The Jockey Club,Hüsker Dü; The Jockey Club; flyers,"Newport, Kentucky",39.0900772,-84.4959295,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,hd015.jpg,,,"Pittsburgh, Pennsylvania, Electric Banana",Mike LaVella,1983-04-28,Electric Banana,Hüsker Dü; Electric Banana; flyers,"Pittsburgh, Pennsylvania",40.4547354,-79.956498,https://www.facebook.com/photo.php?fbid=10155673914038550&set=pcb.10155673915948550&type=3&theater,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
